PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29903615","Neurotransmitter modulation by the gut microbiota","Strandwitz P.","Brain Res. 2018 Aug 15;1693(Pt B):128-133. doi: 10.1016/j.brainres.2018.03.015.","Strandwitz P","Brain Res","2018","2018/06/16","PMC6005194","NIHMS953233","10.1016/j.brainres.2018.03.015"
"30359597","Towards an Understanding of Synapse Formation","Südhof TC.","Neuron. 2018 Oct 24;100(2):276-293. doi: 10.1016/j.neuron.2018.09.040.","Südhof TC","Neuron","2018","2018/10/26","PMC6226307","NIHMS1509679","10.1016/j.neuron.2018.09.040"
"30096314","Molecular Architecture of the Mouse Nervous System","Zeisel A, Hochgerner H, Lönnerberg P, Johnsson A, Memic F, van der Zwan J, Häring M, Braun E, Borm LE, La Manno G, Codeluppi S, Furlan A, Lee K, Skene N, Harris KD, Hjerling-Leffler J, Arenas E, Ernfors P, Marklund U, Linnarsson S.","Cell. 2018 Aug 9;174(4):999-1014.e22. doi: 10.1016/j.cell.2018.06.021.","Zeisel A","Cell","2018","2018/08/11","PMC6086934","","10.1016/j.cell.2018.06.021"
"29934880","Intractable Hiccups","Rouse S, Wodziak M.","Curr Neurol Neurosci Rep. 2018 Jun 22;18(8):51. doi: 10.1007/s11910-018-0856-0.","Rouse S","Curr Neurol Neurosci Rep","2018","2018/06/24","","","10.1007/s11910-018-0856-0"
"30522139","Myofascial Pain","Weller JL, Comeau D, Otis JAD.","Semin Neurol. 2018 Dec;38(6):640-643. doi: 10.1055/s-0038-1673674. Epub 2018 Dec 6.","Weller JL","Semin Neurol","2018","2018/12/07","","","10.1055/s-0038-1673674"
"30458223","Diversity and Specificity of Astrocyte-neuron Communication","Durkee CA, Araque A.","Neuroscience. 2019 Jan 1;396:73-78. doi: 10.1016/j.neuroscience.2018.11.010. Epub 2018 Nov 17.","Durkee CA","Neuroscience","2019","2018/11/21","PMC6494094","NIHMS1512963","10.1016/j.neuroscience.2018.11.010"
"28495803","On the Run for Hippocampal Plasticity","Cooper C, Moon HY, van Praag H.","Cold Spring Harb Perspect Med. 2018 Apr 2;8(4):a029736. doi: 10.1101/cshperspect.a029736.","Cooper C","Cold Spring Harb Perspect Med","2018","2017/05/13","PMC5880155","NIHMS940624","10.1101/cshperspect.a029736"
"28676017","Antipsychotic Drugs: From Receptor-binding Profiles to Metabolic Side Effects","Siafis S, Tzachanis D, Samara M, Papazisis G.","Curr Neuropharmacol. 2018;16(8):1210-1223. doi: 10.2174/1570159X15666170630163616.","Siafis S","Curr Neuropharmacol","2018","2017/07/06","PMC6187748","","10.2174/1570159X15666170630163616"
"29759265","Sleep-Wake Neurochemistry","Holst SC, Landolt HP.","Sleep Med Clin. 2018 Jun;13(2):137-146. doi: 10.1016/j.jsmc.2018.03.002.","Holst SC","Sleep Med Clin","2018","2018/05/16","","","10.1016/j.jsmc.2018.03.002"
"30328690","Overview of the prevention and management of CINV","Natale JJ.","Am J Manag Care. 2018 Oct;24(18 Suppl):S391-S397.","Natale JJ","Am J Manag Care","2018","2018/10/18","","",""
"28198207","Neurophysiological symptoms and aspartame: What is the connection?","Choudhary AK, Lee YY.","Nutr Neurosci. 2018 Jun;21(5):306-316. doi: 10.1080/1028415X.2017.1288340. Epub 2017 Feb 15.","Choudhary AK","Nutr Neurosci","2018","2017/02/16","","","10.1080/1028415X.2017.1288340"
"30464748","Sugar Addiction: From Evolution to Revolution","Wiss DA, Avena N, Rada P.","Front Psychiatry. 2018 Nov 7;9:545. doi: 10.3389/fpsyt.2018.00545. eCollection 2018.","Wiss DA","Front Psychiatry","2018","2018/11/23","PMC6234835","","10.3389/fpsyt.2018.00545"
"29956105","Clinical Research on Alzheimer's Disease: Progress and Perspectives","Sun BL, Li WW, Zhu C, Jin WS, Zeng F, Liu YH, Bu XL, Zhu J, Yao XQ, Wang YJ.","Neurosci Bull. 2018 Dec;34(6):1111-1118. doi: 10.1007/s12264-018-0249-z. Epub 2018 Jun 28.","Sun BL","Neurosci Bull","2018","2018/06/30","PMC6246849","","10.1007/s12264-018-0249-z"
"30569209","Dopamine and addiction: what have we learned from 40 years of research","Solinas M, Belujon P, Fernagut PO, Jaber M, Thiriet N.","J Neural Transm (Vienna). 2019 Apr;126(4):481-516. doi: 10.1007/s00702-018-1957-2. Epub 2018 Dec 19.","Solinas M","J Neural Transm (Vienna)","2019","2018/12/21","","","10.1007/s00702-018-1957-2"
"29748506","Dietary Neurotransmitters: A Narrative Review on Current Knowledge","Briguglio M, Dell'Osso B, Panzica G, Malgaroli A, Banfi G, Zanaboni Dina C, Galentino R, Porta M.","Nutrients. 2018 May 10;10(5):591. doi: 10.3390/nu10050591.","Briguglio M","Nutrients","2018","2018/05/12","PMC5986471","","10.3390/nu10050591"
"30306526","Brain Reward Circuit and Pain","Watanabe M, Narita M.","Adv Exp Med Biol. 2018;1099:201-210. doi: 10.1007/978-981-13-1756-9_17.","Watanabe M","Adv Exp Med Biol","2018","2018/10/12","","","10.1007/978-981-13-1756-9_17"
"30139042","Cytochrome P450: Polymorphisms and Roles in Cancer, Diabetes and Atherosclerosis","Elfaki I, Mir R, Almutairi FM, Duhier FMA.","Asian Pac J Cancer Prev. 2018 Aug 24;19(8):2057-2070. doi: 10.22034/APJCP.2018.19.8.2057.","Elfaki I","Asian Pac J Cancer Prev","2018","2018/08/25","PMC6171375","","10.22034/APJCP.2018.19.8.2057"
