PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"15753022","Neurotransmitters","Hyman SE.","Curr Biol. 2005 Mar 8;15(5):R154-8. doi: 10.1016/j.cub.2005.02.037.","Hyman SE","Curr Biol","2005","2005/03/09","","","10.1016/j.cub.2005.02.037"
"28211810","Therapeutics of Neurotransmitters in Alzheimer's Disease","Kandimalla R, Reddy PH.","J Alzheimers Dis. 2017;57(4):1049-1069. doi: 10.3233/JAD-161118.","Kandimalla R","J Alzheimers Dis","2017","2017/02/18","PMC5793221","NIHMS937356","10.3233/JAD-161118"
"31527667","Neurotransmitters: emerging targets in cancer","Jiang SH, Hu LP, Wang X, Li J, Zhang ZG.","Oncogene. 2020 Jan;39(3):503-515. doi: 10.1038/s41388-019-1006-0. Epub 2019 Sep 16.","Jiang SH","Oncogene","2020","2019/09/19","","","10.1038/s41388-019-1006-0"
"30372766","Inherited Disorders of Neurotransmitters: Classification and Practical Approaches for Diagnosis and Treatment","Brennenstuhl H, Jung-Klawitter S, Assmann B, Opladen T.","Neuropediatrics. 2019 Feb;50(1):2-14. doi: 10.1055/s-0038-1673630. Epub 2018 Oct 29.","Brennenstuhl H","Neuropediatrics","2019","2018/10/30","","","10.1055/s-0038-1673630"
"29627516","Lighting up the brain: genetically encoded fluorescent sensors for imaging neurotransmitters and neuromodulators","Wang H, Jing M, Li Y.","Curr Opin Neurobiol. 2018 Jun;50:171-178. doi: 10.1016/j.conb.2018.03.010. Epub 2018 Apr 5.","Wang H","Curr Opin Neurobiol","2018","2018/04/09","PMC5984720","NIHMS957907","10.1016/j.conb.2018.03.010"
"30573837","Sensing neurotransmitters","Vogt N.","Nat Methods. 2019 Jan;16(1):17. doi: 10.1038/s41592-018-0268-8.","Vogt N","Nat Methods","2019","2018/12/22","","","10.1038/s41592-018-0268-8"
"29903615","Neurotransmitter modulation by the gut microbiota","Strandwitz P.","Brain Res. 2018 Aug 15;1693(Pt B):128-133. doi: 10.1016/j.brainres.2018.03.015.","Strandwitz P","Brain Res","2018","2018/06/16","PMC6005194","NIHMS953233","10.1016/j.brainres.2018.03.015"
"28276653","The building of the neocortex with non-hyperpolarizing neurotransmitters","Ascenzi M, Bony G.","Dev Neurobiol. 2017 Sep;77(9):1023-1037. doi: 10.1002/dneu.22495. Epub 2017 May 4.","Ascenzi M","Dev Neurobiol","2017","2017/03/10","","","10.1002/dneu.22495"
"29220802","Conducting polymer-based electrochemical biosensors for neurotransmitters: A review","Moon JM, Thapliyal N, Hussain KK, Goyal RN, Shim YB.","Biosens Bioelectron. 2018 Apr 15;102:540-552. doi: 10.1016/j.bios.2017.11.069. Epub 2017 Dec 5.","Moon JM","Biosens Bioelectron","2018","2017/12/09","","","10.1016/j.bios.2017.11.069"
"31052309","Latest Trends in Electrochemical Sensors for Neurotransmitters: A Review","Tavakolian-Ardakani Z, Hosu O, Cristea C, Mazloum-Ardakani M, Marrazza G.","Sensors (Basel). 2019 Apr 30;19(9):2037. doi: 10.3390/s19092037.","Tavakolian-Ardakani Z","Sensors (Basel)","2019","2019/05/05","PMC6539656","","10.3390/s19092037"
"30900854","[Research advancement in the determination of neurotransmitters in biological samples and their applications]","Cao Y, Zhang M, Liu M, Hong Z.","Se Pu. 2019 Mar 8;37(3):265-273. doi: 10.3724/SP.J.1123.2018.10006.","Cao Y","Se Pu","2019","2019/03/23","","","10.3724/SP.J.1123.2018.10006"
"26586160","Nanosensors for neurotransmitters","Polo E, Kruss S.","Anal Bioanal Chem. 2016 Apr;408(11):2727-41. doi: 10.1007/s00216-015-9160-x. Epub 2015 Nov 19.","Polo E","Anal Bioanal Chem","2016","2015/11/21","","","10.1007/s00216-015-9160-x"
"28059423","Strategies for sensing neurotransmitters with responsive MRI contrast agents","Angelovski G, Tóth É.","Chem Soc Rev. 2017 Jan 23;46(2):324-336. doi: 10.1039/c6cs00154h.","Angelovski G","Chem Soc Rev","2017","2017/01/07","","","10.1039/c6cs00154h"
"30836315","LC-MS/MS-based quantification of tryptophan metabolites and neurotransmitters in the serum and brain of mice","Wang LS, Zhang MD, Tao X, Zhou YF, Liu XM, Pan RL, Liao YH, Chang Q.","J Chromatogr B Analyt Technol Biomed Life Sci. 2019 Apr 1;1112:24-32. doi: 10.1016/j.jchromb.2019.02.021. Epub 2019 Feb 22.","Wang LS","J Chromatogr B Analyt Technol Biomed Life Sci","2019","2019/03/06","","","10.1016/j.jchromb.2019.02.021"
"2892347","[Neurotransmitters]","Cermignagi EC.","Acta Psiquiatr Psicol Am Lat. 1987 Jun;33(2):165-8.","Cermignagi EC","Acta Psiquiatr Psicol Am Lat","1987","1987/06/01","","",""
"17019881","Neurotransmitters and cognition","Zarrindast MR.","EXS. 2006;98:5-39. doi: 10.1007/978-3-7643-7772-4_2.","Zarrindast MR","EXS","2006","2006/10/06","","","10.1007/978-3-7643-7772-4_2"
"21664902","Neurotransmitters, more than meets the eye--neurotransmitters and their perspectives in cancer development and therapy","Li ZJ, Cho CH.","Eur J Pharmacol. 2011 Sep 30;667(1-3):17-22. doi: 10.1016/j.ejphar.2011.05.077. Epub 2011 Jun 7.","Li ZJ","Eur J Pharmacol","2011","2011/06/14","","","10.1016/j.ejphar.2011.05.077"
"19219299","Unconventional neurotransmitters, neurodegeneration and neuroprotection","Leonelli M, Torrão AS, Britto LR.","Braz J Med Biol Res. 2009 Jan;42(1):68-75. doi: 10.1590/s0100-879x2009000100011.","Leonelli M","Braz J Med Biol Res","2009","2009/02/17","","","10.1590/s0100-879x2009000100011"
"17904651","Neurotransmitter receptors on microglia","Pocock JM, Kettenmann H.","Trends Neurosci. 2007 Oct;30(10):527-35. doi: 10.1016/j.tins.2007.07.007. Epub 2007 Sep 29.","Pocock JM","Trends Neurosci","2007","2007/10/02","","","10.1016/j.tins.2007.07.007"
"25275116","Caged neurotransmitters and other caged compounds: design and application","Hess GP, Lewis RW, Chen Y.","Cold Spring Harb Protoc. 2014 Oct 1;2014(10):pdb.top084152. doi: 10.1101/pdb.top084152.","Hess GP","Cold Spring Harb Protoc","2014","2014/10/03","","","10.1101/pdb.top084152"
