"Source","Target"
"hi","bye"
"Kandimalla R"," Reddy PH."
"Ascenzi M"," Bony G."
"Polo E"," Kruss S."
"Angelovski G"," Tóth É."
"Li ZJ"," Cho CH."
"Pocock JM"," Kettenmann H."
"Burton MD"," Kazemi H."
"Rusak B"," Bina KG."
"Kuriyama H"," Ueno H."
"Szapiro G"," Barbour B."
"Lapalus P"," Elena PP."
"Cottrell GA"," Bewick GS."
"Karlsson JA"," Persson CG."
"Harris KD"," Zahavi A."
"Owen F"," Crow TJ."
"Hösli E"," Hösli L."
"Shankaran DR"," Miura N."
"Snyder SH"," Kim PM."
"Zabadaj M"," Ciosek-Skibińska P."
"Wetzel H"," Benkert O."
"Werner FM"," Coveñas R."
"Yi Z"," Brown PR."
"Parnavelas JG"," Cavanagh ME."
"Niwa M"," Taniyama K."
"Middlemiss DN"," Hutson PH."
"Reinikainen K"," Riekkinen PJ."
"Omote K"," Namiki A."
"Álvarez-Martos I"," Ferapontova EE."
"Li H"," Yan ZY."
"Nilsson S"," Holmgren S."
"Mirmiran M"," Swaab DF."
"Gibson KM"," De Vivo DC."
"Lomax P"," Green MD."
"Robinson MB"," Coyle JT."
"Keenan CL"," Koopowitz H."
"Wu SM"," Maple BR."
"González MI"," Robinson MB."
"Kim JS"," Zhen M."
"Reyes-García MG"," García-Tamayo F."
"Qiu YH"," Wang JH."
"Marrs TC"," Maynard RL."
"Lang K"," Bastian P."
"Noudoost B"," Moore T."
"Bovingdon ME"," Webster RA."
"Ruzicka BB"," Jhamandas KH."
"Xia Y"," Cao XD."
"Worrall DM"," Williams DC."
"Hösli L"," Hösli E."
"Boada JN"," Bayo JM."
"Foxx-Orenstein AE"," Grider JR."
"Argiolas A"," Melis MR."
"Swoboda KJ"," Hyland K."
"Robel P"," Baulieu EE."
"Penmatsa A"," Gouaux E."
"Melkikh AV"," Seleznev VD."
"de Groat WC"," Yoshimura N."
"Straub RH"," Jessop DS."
"De Simoni MG"," Imeri L."
"Soghomonian JJ"," Martin DL."
"Kitayama S"," Dohi T."
"Brezina V"," Weiss KR."
"Ogata N"," Kuriyama H."
"Wauben IP"," Wainwright PE."
"Smith BR"," Amit Z."
"Adeghate E"," Singh J."
"Janssens WJ"," Vanhoutte PM."
"Renaud LP"," Kelly JS."
"Takayasu M"," Dacey RG Jr."
"Yang L"," Beal MF."
"Tayebati SK"," Amenta F."
"Hansson E"," Rönnbäck L."
"Kawano T"," Hosoya H."
"Pinborg LH"," Knudsen GM."
"Ishizaki F"," Kito S."
"Diniz Behn CG"," Booth V."
"Gallinat J"," Heinz A."
"Aliyev NN"," Aliyev ZN."
"Koroleva SV"," Miasoedov NF."
"Walker RJ"," Holden-Dye L."
"Lipton SA"," Kater SB."
"Tsakadze LG"," Kometiani ZP."
"Thompson GA"," Kilpatrick IC."
"Shibata S"," Tominaga K."
"Brown GM"," Grota LJ."
"Esterle TM"," Sanders-Bush E."
"Giannini AJ"," Miller NS."
"Baumann C"," Bassetti C."
"Starratt AN"," Brown BE."
"Shukla M"," Tripathi SN."
"Shibata S"," Watanabe S."
"Bhattacharya SK"," Bhattacharya D."
"Ghosh P"," Bhattacharya SK."
"Kaźmierczak H"," Mierzwiński J."
"Kerwin RW"," Pycock CJ."
"Razzak MA"," Naguib M."
"Gur RE"," Gur RC."
"Wiens BL"," Brownell PH."
"Houk EJ"," Beck SD."
"Faler CA"," Joullié MM."
"Cuénod M"," Reubi JC."
"Allen DL"," Renner KJ."
"Cooper JR"," Zoltay G."
"Hosokawa H"," Kaseda M."
"Monnier M"," Schoenenberger GA."
"Bhattacharya SK"," Sarkar MK."
"Shmukier YB"," Buznikov GA."
"Zhang MY"," Beyer CE."
"Luton JP"," Chaumerliac P."
"Trouillon R"," Ewing AG."
"Burchett SA"," Hicks TP."
"Baranowska I"," Zydron M."
"Akasu T"," Koketsu K."
"Kobayashi S"," Terao Y."
"Zorumski CF"," Mennerick S."
"Watanabe A"," Nagashima H."
"Mokrushin AA"," Tokarev AV."
"Sutton RN"," Itzhaki RF."
"Headley PM"," Grillner S."
"Khvotchev M"," Kavalali ET."
"Herlenius E"," Lagercrantz H."
"Melcangi RC"," Panzica GC."
"Liu J"," Mori A."
"Kuriyama K"," Ohkuma S."
"Wang CF"," Han SP."
"Bealer SL"," Crowley WR."
"Ghouri MS"," Shibata S."
"Stamford JA"," Justice JB Jr."
"Ricci LC"," Wellman MM."
"Konopińska D"," Rosiński G."
"Villar D"," Schaeffer DJ."
