Source,Target
Faquih AE,Memon RI
Faquih AE,Hafeez H
Faquih AE,Zeshan M
Faquih AE,Naveed S
Memon RI,Hafeez H
Memon RI,Zeshan M
Memon RI,Naveed S
Hafeez H,Zeshan M
Hafeez H,Naveed S
Kabata H,Artis D
Brennenstuhl H,Jung-Klawitter S
Brennenstuhl H,Assmann B
Brennenstuhl H,Opladen T
Jung-Klawitter S,Assmann B
Jung-Klawitter S,Opladen T
Jamwal S,Kumar P
Chagraoui A,Boulain M
Chagraoui A,Juvin L
Chagraoui A,Anouar Y
Chagraoui A,Barrière G
Chagraoui A,Deurwaerdère P
Boulain M,Juvin L
Boulain M,Anouar Y
Boulain M,Barrière G
Boulain M,Deurwaerdère P
Juvin L,Anouar Y
Juvin L,Barrière G
Juvin L,Deurwaerdère P
Anouar Y,Barrière G
Anouar Y,Deurwaerdère P
Grover S,Patil A
Grover S,Kaur A
Grover S,Garg G
Patil A,Kaur A
Patil A,Garg G
Jung-Klawitter S,Kuseyri Hübschmann O
Kerage D,Sloan EK
Kerage D,Mattarollo SR
Kerage D,McCombe PA
Sloan EK,Mattarollo SR
Sloan EK,McCombe PA
Shariatgorji M,Nilsson A
Shariatgorji M,Fridjonsdottir E
Shariatgorji M,Vallianatou T
Shariatgorji M,Källback P
Shariatgorji M,Katan L
Shariatgorji M,Sävmarker J
Shariatgorji M,Mantas I
Shariatgorji M,Zhang X
Shariatgorji M,Bezard E
Shariatgorji M,Svenningsson P
Shariatgorji M,Odell LR
Shariatgorji M,Andrén PE
Nilsson A,Fridjonsdottir E
Nilsson A,Vallianatou T
Nilsson A,Källback P
Nilsson A,Katan L
Nilsson A,Sävmarker J
Nilsson A,Mantas I
Nilsson A,Zhang X
Nilsson A,Bezard E
Nilsson A,Svenningsson P
Nilsson A,Odell LR
Nilsson A,Andrén PE
Fridjonsdottir E,Vallianatou T
Fridjonsdottir E,Källback P
Fridjonsdottir E,Katan L
Fridjonsdottir E,Sävmarker J
Fridjonsdottir E,Mantas I
Fridjonsdottir E,Zhang X
Fridjonsdottir E,Bezard E
Fridjonsdottir E,Svenningsson P
Fridjonsdottir E,Odell LR
Fridjonsdottir E,Andrén PE
Vallianatou T,Källback P
Vallianatou T,Katan L
Vallianatou T,Sävmarker J
Vallianatou T,Mantas I
Vallianatou T,Zhang X
Vallianatou T,Bezard E
Vallianatou T,Svenningsson P
Vallianatou T,Odell LR
Vallianatou T,Andrén PE
Källback P,Katan L
Källback P,Sävmarker J
Källback P,Mantas I
Källback P,Zhang X
Källback P,Bezard E
Källback P,Svenningsson P
Källback P,Odell LR
Källback P,Andrén PE
Katan L,Sävmarker J
Katan L,Mantas I
Katan L,Zhang X
Katan L,Bezard E
Katan L,Svenningsson P
Katan L,Odell LR
Katan L,Andrén PE
Sävmarker J,Mantas I
Sävmarker J,Zhang X
Sävmarker J,Bezard E
Sävmarker J,Svenningsson P
Sävmarker J,Odell LR
Sävmarker J,Andrén PE
Mantas I,Zhang X
Mantas I,Bezard E
Mantas I,Svenningsson P
Mantas I,Odell LR
Mantas I,Andrén PE
Zhang X,Bezard E
Zhang X,Svenningsson P
Zhang X,Odell LR
Zhang X,Andrén PE
Bezard E,Svenningsson P
Bezard E,Odell LR
Bezard E,Andrén PE
Svenningsson P,Odell LR
Svenningsson P,Andrén PE
Predescu DV,Crețoiu SM
Predescu DV,Crețoiu D
Predescu DV,Pavelescu LA
Predescu DV,Suciu N
Predescu DV,Radu BM
Predescu DV,Voinea SC
Crețoiu SM,Crețoiu D
Crețoiu SM,Pavelescu LA
Crețoiu SM,Suciu N
Crețoiu SM,Radu BM
Crețoiu SM,Voinea SC
Crețoiu D,Pavelescu LA
Crețoiu D,Suciu N
Crețoiu D,Radu BM
Crețoiu D,Voinea SC
Pavelescu LA,Suciu N
Pavelescu LA,Radu BM
Pavelescu LA,Voinea SC
Suciu N,Radu BM
Suciu N,Voinea SC
Iovino M,Messana T
Iovino M,Iovino E
Iovino M,De Pergola G
Iovino M,Guastamacchia E
Iovino M,Giagulli VA
Iovino M,Triggiani V
Messana T,Iovino E
Messana T,De Pergola G
Messana T,Guastamacchia E
Messana T,Giagulli VA
Messana T,Triggiani V
Iovino E,De Pergola G
Iovino E,Guastamacchia E
Iovino E,Giagulli VA
Iovino E,Triggiani V
De Pergola G,Guastamacchia E
De Pergola G,Giagulli VA
De Pergola G,Triggiani V
Guastamacchia E,Giagulli VA
Guastamacchia E,Triggiani V
Ramírez-Sánchez M,Prieto I
Ramírez-Sánchez M,Segarra AB
Ramírez-Sánchez M,Martínez-Cañamero M
Ramírez-Sánchez M,Banegas I
Ramírez-Sánchez M,de Gasparo M
Prieto I,Segarra AB
Prieto I,Martínez-Cañamero M
Prieto I,Banegas I
Prieto I,de Gasparo M
Segarra AB,Martínez-Cañamero M
